序号,所在目录,标题,标题末尾,标题链接,标题链接末尾路径,标签,网站题解链接,github 题解链接,通过率,难度,题解数目
1623,1600-1699,1623. 三人国家代表队,三人国家代表队,https://leetcode.com/problems/all-valid-triplets-that-can-represent-a-country/,all-valid-triplets-that-can-represent-a-country,数据库,https://2xiao.github.io/fe/leetcode/problem/1623,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1623.md,78.5%,简单,61
1624,1600-1699,1624. 两个相同字符之间的最长子字符串,两个相同字符之间的最长子字符串,https://leetcode.com/problems/largest-substring-between-two-equal-characters/,largest-substring-between-two-equal-characters,哈希表、字符串,https://2xiao.github.io/fe/leetcode/problem/1624,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1624.md,64.4%,简单,693
1625,1600-1699,1625. 执行操作后字典序最小的字符串,执行操作后字典序最小的字符串,https://leetcode.com/problems/lexicographically-smallest-string-after-applying-operations/,lexicographically-smallest-string-after-applying-operations,广度优先搜索、字符串,https://2xiao.github.io/fe/leetcode/problem/1625,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1625.md,66.7%,中等,150
1626,1600-1699,1626. 无矛盾的最佳球队,无矛盾的最佳球队,https://leetcode.com/problems/best-team-with-no-conflicts/,best-team-with-no-conflicts,数组、动态规划、排序,https://2xiao.github.io/fe/leetcode/problem/1626,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1626.md,53.7%,中等,248
1627,1600-1699,1627. 带阈值的图连通性,带阈值的图连通性,https://leetcode.com/problems/graph-connectivity-with-threshold/,graph-connectivity-with-threshold,并查集、数组、数学,https://2xiao.github.io/fe/leetcode/problem/1627,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1627.md,42.2%,困难,65
1628,1600-1699,1628. 设计带解析函数的表达式树,设计带解析函数的表达式树,https://leetcode.com/problems/design-an-expression-tree-with-evaluate-function/,design-an-expression-tree-with-evaluate-function,栈、树、设计、数学、二叉树,https://2xiao.github.io/fe/leetcode/problem/1628,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1628.md,82.4%,中等,34
1629,1600-1699,1629. 按键持续时间最长的键,按键持续时间最长的键,https://leetcode.com/problems/slowest-key/,slowest-key,数组、字符串,https://2xiao.github.io/fe/leetcode/problem/1629,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1629.md,55.8%,简单,446
1630,1600-1699,1630. 等差子数组,等差子数组,https://leetcode.com/problems/arithmetic-subarrays/,arithmetic-subarrays,数组、排序,https://2xiao.github.io/fe/leetcode/problem/1630,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1630.md,76.1%,中等,447
1631,1600-1699,1631. 最小体力消耗路径,最小体力消耗路径,https://leetcode.com/problems/path-with-minimum-effort/,path-with-minimum-effort,深度优先搜索、广度优先搜索、并查集、数组、二分查找、矩阵、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/1631,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1631.md,50.9%,中等,443
1632,1600-1699,1632. 矩阵转换后的秩,矩阵转换后的秩,https://leetcode.com/problems/rank-transform-of-a-matrix/,rank-transform-of-a-matrix,贪心、并查集、图、拓扑排序、数组、矩阵,https://2xiao.github.io/fe/leetcode/problem/1632,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1632.md,57.5%,困难,97
1633,1600-1699,1633. 各赛事的用户注册率,各赛事的用户注册率,https://leetcode.com/problems/percentage-of-users-attended-a-contest/,percentage-of-users-attended-a-contest,数据库,https://2xiao.github.io/fe/leetcode/problem/1633,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1633.md,62.7%,简单,102
1634,1600-1699,1634. 求两个多项式链表的和,求两个多项式链表的和,https://leetcode.com/problems/add-two-polynomials-represented-as-linked-lists/,add-two-polynomials-represented-as-linked-lists,链表、数学、双指针,https://2xiao.github.io/fe/leetcode/problem/1634,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1634.md,60.1%,中等,56
1635,1600-1699,1635. Hopper 公司查询 I,Hopper 公司查询 I,https://leetcode.com/problems/hopper-company-queries-i/,hopper-company-queries-i,数据库,https://2xiao.github.io/fe/leetcode/problem/1635,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1635.md,49.1%,困难,54
1636,1600-1699,1636. 按照频率将数组升序排序,按照频率将数组升序排序,https://leetcode.com/problems/sort-array-by-increasing-frequency/,sort-array-by-increasing-frequency,数组、哈希表、排序,https://2xiao.github.io/fe/leetcode/problem/1636,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1636.md,74.8%,简单,609
1637,1600-1699,1637. 两点之间不包含任何点的最宽垂直区域,两点之间不包含任何点的最宽垂直区域,https://leetcode.com/problems/widest-vertical-area-between-two-points-containing-no-points/,widest-vertical-area-between-two-points-containing-no-points,数组、排序,https://2xiao.github.io/fe/leetcode/problem/1637,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1637.md,84.3%,中等,274
1638,1600-1699,1638. 统计只差一个字符的子串数目,统计只差一个字符的子串数目,https://leetcode.com/problems/count-substrings-that-differ-by-one-character/,count-substrings-that-differ-by-one-character,哈希表、字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/1638,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1638.md,77.6%,中等,194
1639,1600-1699,1639. 通过给定词典构造目标字符串的方案数,通过给定词典构造目标字符串的方案数,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary/,number-of-ways-to-form-a-target-string-given-a-dictionary,数组、字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/1639,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1639.md,46.9%,困难,55
1640,1600-1699,1640. 能否连接形成数组,能否连接形成数组,https://leetcode.com/problems/check-array-formation-through-concatenation/,check-array-formation-through-concatenation,数组、哈希表,https://2xiao.github.io/fe/leetcode/problem/1640,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1640.md,60.9%,简单,660
1641,1600-1699,1641. 统计字典序元音字符串的数目,统计字典序元音字符串的数目,https://leetcode.com/problems/count-sorted-vowel-strings/,count-sorted-vowel-strings,数学、动态规划、组合数学,https://2xiao.github.io/fe/leetcode/problem/1641,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1641.md,82.4%,中等,598
1642,1600-1699,1642. 可以到达的最远建筑,可以到达的最远建筑,https://leetcode.com/problems/furthest-building-you-can-reach/,furthest-building-you-can-reach,贪心、数组、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/1642,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1642.md,45.3%,中等,171
1643,1600-1699,1643. 第 K 条最小指令,第 K 条最小指令,https://leetcode.com/problems/kth-smallest-instructions/,kth-smallest-instructions,数组、数学、动态规划、组合数学,https://2xiao.github.io/fe/leetcode/problem/1643,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1643.md,48.0%,困难,78
1644,1600-1699,1644. 二叉树的最近公共祖先 II,二叉树的最近公共祖先 II,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-ii/,lowest-common-ancestor-of-a-binary-tree-ii,树、深度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/1644,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1644.md,56.0%,中等,56
1645,1600-1699,1645. 1645.Hopper 公司查询 II,1645.Hopper 公司查询 II,https://leetcode.com/problems/hopper-company-queries-ii/,hopper-company-queries-ii,数据库,https://2xiao.github.io/fe/leetcode/problem/1645,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1645.md,41.8%,困难,37
1646,1600-1699,1646. 获取生成数组中的最大值,获取生成数组中的最大值,https://leetcode.com/problems/get-maximum-in-generated-array/,get-maximum-in-generated-array,数组、动态规划、模拟,https://2xiao.github.io/fe/leetcode/problem/1646,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1646.md,51.9%,简单,503
1647,1600-1699,1647. 字符频次唯一的最小删除次数,字符频次唯一的最小删除次数,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique/,minimum-deletions-to-make-character-frequencies-unique,贪心、哈希表、字符串、排序,https://2xiao.github.io/fe/leetcode/problem/1647,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1647.md,54.5%,中等,186
1648,1600-1699,1648. 销售价值减少的颜色球,销售价值减少的颜色球,https://leetcode.com/problems/sell-diminishing-valued-colored-balls/,sell-diminishing-valued-colored-balls,贪心、数组、数学、二分查找、排序、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/1648,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1648.md,31.6%,中等,147
1649,1600-1699,1649. 通过指令创建有序数组,通过指令创建有序数组,https://leetcode.com/problems/create-sorted-array-through-instructions/,create-sorted-array-through-instructions,树状数组、线段树、数组、二分查找、分治、有序集合、归并排序,https://2xiao.github.io/fe/leetcode/problem/1649,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1649.md,49.3%,困难,98
1650,1600-1699,1650. 二叉树的最近公共祖先 III,二叉树的最近公共祖先 III,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/,lowest-common-ancestor-of-a-binary-tree-iii,树、哈希表、二叉树,https://2xiao.github.io/fe/leetcode/problem/1650,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1650.md,80.0%,中等,66
1651,1600-1699,1651. Hopper 公司查询 III,Hopper 公司查询 III,https://leetcode.com/problems/hopper-company-queries-iii/,hopper-company-queries-iii,数据库,https://2xiao.github.io/fe/leetcode/problem/1651,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1651.md,64.0%,困难,37
1652,1600-1699,1652. 拆炸弹,拆炸弹,https://leetcode.com/problems/defuse-the-bomb/,defuse-the-bomb,数组,https://2xiao.github.io/fe/leetcode/problem/1652,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1652.md,66.4%,简单,608
1653,1600-1699,1653. 使字符串平衡的最少删除次数,使字符串平衡的最少删除次数,https://leetcode.com/problems/minimum-deletions-to-make-string-balanced/,minimum-deletions-to-make-string-balanced,栈、字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/1653,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1653.md,61.0%,中等,355
1654,1600-1699,1654. 到家的最少跳跃次数,到家的最少跳跃次数,https://leetcode.com/problems/minimum-jumps-to-reach-home/,minimum-jumps-to-reach-home,广度优先搜索、数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/1654,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1654.md,31.2%,中等,116
1655,1600-1699,1655. 分配重复整数,分配重复整数,https://leetcode.com/problems/distribute-repeating-integers/,distribute-repeating-integers,位运算、数组、动态规划、回溯、状态压缩,https://2xiao.github.io/fe/leetcode/problem/1655,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1655.md,39.5%,困难,62
1656,1600-1699,1656. 设计有序流,设计有序流,https://leetcode.com/problems/design-an-ordered-stream/,design-an-ordered-stream,设计、数组、哈希表、数据流,https://2xiao.github.io/fe/leetcode/problem/1656,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1656.md,84.1%,简单,368
1657,1600-1699,1657. 确定两个字符串是否接近,确定两个字符串是否接近,https://leetcode.com/problems/determine-if-two-strings-are-close/,determine-if-two-strings-are-close,哈希表、字符串、排序,https://2xiao.github.io/fe/leetcode/problem/1657,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1657.md,47.1%,中等,165
1658,1600-1699,1658. 将 x 减到 0 的最小操作数,将 x 减到 0 的最小操作数,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero/,minimum-operations-to-reduce-x-to-zero,数组、哈希表、二分查找、前缀和、滑动窗口,https://2xiao.github.io/fe/leetcode/problem/1658,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1658.md,39.2%,中等,440
1659,1600-1699,1659. 最大化网格幸福感,最大化网格幸福感,https://leetcode.com/problems/maximize-grid-happiness/,maximize-grid-happiness,位运算、记忆化搜索、动态规划、状态压缩,https://2xiao.github.io/fe/leetcode/problem/1659,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1659.md,64.7%,困难,67
1660,1600-1699,1660. 纠正二叉树,纠正二叉树,https://leetcode.com/problems/correct-a-binary-tree/,correct-a-binary-tree,树、深度优先搜索、广度优先搜索、哈希表、二叉树,https://2xiao.github.io/fe/leetcode/problem/1660,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1660.md,76.2%,中等,36
1661,1600-1699,1661. 每台机器的进程平均运行时间,每台机器的进程平均运行时间,https://leetcode.com/problems/average-time-of-process-per-machine/,average-time-of-process-per-machine,数据库,https://2xiao.github.io/fe/leetcode/problem/1661,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1661.md,72.6%,简单,131
1662,1600-1699,1662. 检查两个字符串数组是否相等,检查两个字符串数组是否相等,https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/,check-if-two-string-arrays-are-equivalent,数组、字符串,https://2xiao.github.io/fe/leetcode/problem/1662,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1662.md,81.0%,简单,710
1663,1600-1699,1663. 具有给定数值的最小字符串,具有给定数值的最小字符串,https://leetcode.com/problems/smallest-string-with-a-given-numeric-value/,smallest-string-with-a-given-numeric-value,贪心、字符串,https://2xiao.github.io/fe/leetcode/problem/1663,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1663.md,65.1%,中等,349
1664,1600-1699,1664. 生成平衡数组的方案数,生成平衡数组的方案数,https://leetcode.com/problems/ways-to-make-a-fair-array/,ways-to-make-a-fair-array,数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/1664,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1664.md,66.5%,中等,399
1665,1600-1699,1665. 完成所有任务的最少初始能量,完成所有任务的最少初始能量,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks/,minimum-initial-energy-to-finish-tasks,贪心、数组、排序,https://2xiao.github.io/fe/leetcode/problem/1665,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1665.md,65.4%,困难,124
1666,1600-1699,1666. 改变二叉树的根节点,改变二叉树的根节点,https://leetcode.com/problems/change-the-root-of-a-binary-tree/,change-the-root-of-a-binary-tree,树、深度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/1666,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1666.md,66.8%,中等,24
1667,1600-1699,1667. 修复表中的名字,修复表中的名字,https://leetcode.com/problems/fix-names-in-a-table/,fix-names-in-a-table,数据库,https://2xiao.github.io/fe/leetcode/problem/1667,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1667.md,63.6%,简单,282
1668,1600-1699,1668. 最大重复子字符串,最大重复子字符串,https://leetcode.com/problems/maximum-repeating-substring/,maximum-repeating-substring,字符串、字符串匹配,https://2xiao.github.io/fe/leetcode/problem/1668,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1668.md,47.0%,简单,588
1669,1600-1699,1669. 合并两个链表,合并两个链表,https://leetcode.com/problems/merge-in-between-linked-lists/,merge-in-between-linked-lists,链表,https://2xiao.github.io/fe/leetcode/problem/1669,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1669.md,77.3%,中等,626
1670,1600-1699,1670. 设计前中后队列,设计前中后队列,https://leetcode.com/problems/design-front-middle-back-queue/,design-front-middle-back-queue,设计、队列、数组、链表、数据流,https://2xiao.github.io/fe/leetcode/problem/1670,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1670.md,52.0%,中等,145
1671,1600-1699,1671. 得到山形数组的最少删除次数,得到山形数组的最少删除次数,https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array/,minimum-number-of-removals-to-make-mountain-array,贪心、数组、二分查找、动态规划,https://2xiao.github.io/fe/leetcode/problem/1671,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1671.md,46.7%,困难,75
1672,1600-1699,1672. 最富有客户的资产总量,最富有客户的资产总量,https://leetcode.com/problems/richest-customer-wealth/,richest-customer-wealth,数组、矩阵,https://2xiao.github.io/fe/leetcode/problem/1672,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1672.md,83.7%,简单,1370
1673,1600-1699,1673. 找出最具竞争力的子序列,找出最具竞争力的子序列,https://leetcode.com/problems/find-the-most-competitive-subsequence/,find-the-most-competitive-subsequence,栈、贪心、数组、单调栈,https://2xiao.github.io/fe/leetcode/problem/1673,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1673.md,39.5%,中等,226
1674,1600-1699,1674. 使数组互补的最少操作次数,使数组互补的最少操作次数,https://leetcode.com/problems/minimum-moves-to-make-array-complementary/,minimum-moves-to-make-array-complementary,数组、哈希表、前缀和,https://2xiao.github.io/fe/leetcode/problem/1674,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1674.md,41.9%,中等,81
1675,1600-1699,1675. 数组的最小偏移量,数组的最小偏移量,https://leetcode.com/problems/minimize-deviation-in-array/,minimize-deviation-in-array,贪心、数组、有序集合、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/1675,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1675.md,45.6%,困难,71
1676,1600-1699,1676. 二叉树的最近公共祖先 IV,二叉树的最近公共祖先 IV,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iv/,lowest-common-ancestor-of-a-binary-tree-iv,树、深度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/1676,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1676.md,79.9%,中等,53
1677,1600-1699,1677. 发票中的产品金额,发票中的产品金额,https://leetcode.com/problems/products-worth-over-invoices/,products-worth-over-invoices,数据库,https://2xiao.github.io/fe/leetcode/problem/1677,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1677.md,35.3%,简单,54
1678,1600-1699,1678. 设计 Goal 解析器,设计 Goal 解析器,https://leetcode.com/problems/goal-parser-interpretation/,goal-parser-interpretation,字符串,https://2xiao.github.io/fe/leetcode/problem/1678,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1678.md,86.1%,简单,766
1679,1600-1699,1679. K 和数对的最大数目,K 和数对的最大数目,https://leetcode.com/problems/max-number-of-k-sum-pairs/,max-number-of-k-sum-pairs,数组、哈希表、双指针、排序,https://2xiao.github.io/fe/leetcode/problem/1679,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1679.md,54.0%,中等,220
1680,1600-1699,1680. 连接连续二进制数字,连接连续二进制数字,https://leetcode.com/problems/concatenation-of-consecutive-binary-numbers/,concatenation-of-consecutive-binary-numbers,位运算、数学、模拟,https://2xiao.github.io/fe/leetcode/problem/1680,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1680.md,49.9%,中等,92
1681,1600-1699,1681. 最小不兼容性,最小不兼容性,https://leetcode.com/problems/minimum-incompatibility/,minimum-incompatibility,位运算、数组、动态规划、状态压缩,https://2xiao.github.io/fe/leetcode/problem/1681,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1681.md,54.9%,困难,99
1682,1600-1699,1682. 最长回文子序列 II,最长回文子序列 II,https://leetcode.com/problems/longest-palindromic-subsequence-ii/,longest-palindromic-subsequence-ii,字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/1682,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1682.md,57.2%,中等,42
1683,1600-1699,1683. 无效的推文,无效的推文,https://leetcode.com/problems/invalid-tweets/,invalid-tweets,数据库,https://2xiao.github.io/fe/leetcode/problem/1683,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1683.md,87.4%,简单,72
1684,1600-1699,1684. 统计一致字符串的数目,统计一致字符串的数目,https://leetcode.com/problems/count-the-number-of-consistent-strings/,count-the-number-of-consistent-strings,位运算、数组、哈希表、字符串,https://2xiao.github.io/fe/leetcode/problem/1684,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1684.md,85.2%,简单,840
1685,1600-1699,1685. 有序数组中差绝对值之和,有序数组中差绝对值之和,https://leetcode.com/problems/sum-of-absolute-differences-in-a-sorted-array/,sum-of-absolute-differences-in-a-sorted-array,数组、数学、前缀和,https://2xiao.github.io/fe/leetcode/problem/1685,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1685.md,64.9%,中等,171
1686,1600-1699,1686. 石子游戏 VI,石子游戏 VI,https://leetcode.com/problems/stone-game-vi/,stone-game-vi,贪心、数组、数学、博弈、排序、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/1686,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1686.md,50.1%,中等,79
1687,1600-1699,1687. 从仓库到码头运输箱子,从仓库到码头运输箱子,https://leetcode.com/problems/delivering-boxes-from-storage-to-ports/,delivering-boxes-from-storage-to-ports,线段树、队列、数组、动态规划、前缀和、单调队列、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/1687,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1687.md,58.8%,困难,99
1688,1600-1699,1688. 比赛中的配对次数,比赛中的配对次数,https://leetcode.com/problems/count-of-matches-in-tournament/,count-of-matches-in-tournament,数学、模拟,https://2xiao.github.io/fe/leetcode/problem/1688,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1688.md,83.8%,简单,643
1689,1600-1699,1689. 十-二进制数的最少数目,十-二进制数的最少数目,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers/,partitioning-into-minimum-number-of-deci-binary-numbers,贪心、字符串,https://2xiao.github.io/fe/leetcode/problem/1689,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1689.md,86.6%,中等,298
1690,1600-1699,1690. 石子游戏 VII,石子游戏 VII,https://leetcode.com/problems/stone-game-vii/,stone-game-vii,数组、数学、动态规划、博弈,https://2xiao.github.io/fe/leetcode/problem/1690,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1690.md,55.7%,中等,135
1691,1600-1699,1691. 堆叠长方体的最大高度,堆叠长方体的最大高度,https://leetcode.com/problems/maximum-height-by-stacking-cuboids/,maximum-height-by-stacking-cuboids,数组、动态规划、排序,https://2xiao.github.io/fe/leetcode/problem/1691,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1691.md,65.0%,困难,176
1692,1600-1699,1692. 计算分配糖果的不同方式,计算分配糖果的不同方式,https://leetcode.com/problems/count-ways-to-distribute-candies/,count-ways-to-distribute-candies,动态规划,https://2xiao.github.io/fe/leetcode/problem/1692,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1692.md,66.1%,困难,25
1693,1600-1699,1693. 每天的领导和合伙人,每天的领导和合伙人,https://leetcode.com/problems/daily-leads-and-partners/,daily-leads-and-partners,数据库,https://2xiao.github.io/fe/leetcode/problem/1693,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1693.md,82.0%,简单,168
1694,1600-1699,1694. 重新格式化电话号码,重新格式化电话号码,https://leetcode.com/problems/reformat-phone-number/,reformat-phone-number,字符串,https://2xiao.github.io/fe/leetcode/problem/1694,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1694.md,66.1%,简单,566
1695,1600-1699,1695. 删除子数组的最大得分,删除子数组的最大得分,https://leetcode.com/problems/maximum-erasure-value/,maximum-erasure-value,数组、哈希表、滑动窗口,https://2xiao.github.io/fe/leetcode/problem/1695,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1695.md,51.9%,中等,228
1696,1600-1699,1696. 跳跃游戏 VI,跳跃游戏 VI,https://leetcode.com/problems/jump-game-vi/,jump-game-vi,队列、数组、动态规划、滑动窗口、单调队列、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/1696,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1696.md,40.2%,中等,193
1697,1600-1699,1697. 检查边长度限制的路径是否存在,检查边长度限制的路径是否存在,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths/,checking-existence-of-edge-length-limited-paths,并查集、图、数组、排序,https://2xiao.github.io/fe/leetcode/problem/1697,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1697.md,64.9%,困难,163
1698,1600-1699,1698. 字符串的不同子字符串个数,字符串的不同子字符串个数,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string/,number-of-distinct-substrings-in-a-string,字典树、字符串、后缀数组、哈希函数、滚动哈希,https://2xiao.github.io/fe/leetcode/problem/1698,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1698.md,55.2%,中等,28
1699,1600-1699,1699. 两人之间的通话次数,两人之间的通话次数,https://leetcode.com/problems/number-of-calls-between-two-persons/,number-of-calls-between-two-persons,数据库,https://2xiao.github.io/fe/leetcode/problem/1699,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1699.md,76.4%,中等,124
1700,1700-1799,1700. 无法吃午餐的学生数量,无法吃午餐的学生数量,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch/,number-of-students-unable-to-eat-lunch,栈、队列、数组、模拟,https://2xiao.github.io/fe/leetcode/problem/1700,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1700.md,73.2%,简单,764
1701,1700-1799,1701. 平均等待时间,平均等待时间,https://leetcode.com/problems/average-waiting-time/,average-waiting-time,数组、模拟,https://2xiao.github.io/fe/leetcode/problem/1701,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1701.md,60.5%,中等,145
1702,1700-1799,1702. 修改后的最大二进制字符串,修改后的最大二进制字符串,https://leetcode.com/problems/maximum-binary-string-after-change/,maximum-binary-string-after-change,贪心、字符串,https://2xiao.github.io/fe/leetcode/problem/1702,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1702.md,48.3%,中等,99
1703,1700-1799,1703. 得到连续 K 个 1 的最少相邻交换次数,得到连续 K 个 1 的最少相邻交换次数,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones/,minimum-adjacent-swaps-for-k-consecutive-ones,贪心、数组、前缀和、滑动窗口,https://2xiao.github.io/fe/leetcode/problem/1703,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1703.md,56.6%,困难,87
1704,1700-1799,1704. 判断字符串的两半是否相似,判断字符串的两半是否相似,https://leetcode.com/problems/determine-if-string-halves-are-alike/,determine-if-string-halves-are-alike,字符串、计数,https://2xiao.github.io/fe/leetcode/problem/1704,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1704.md,78.4%,简单,569
1705,1700-1799,1705. 吃苹果的最大数目,吃苹果的最大数目,https://leetcode.com/problems/maximum-number-of-eaten-apples/,maximum-number-of-eaten-apples,贪心、数组、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/1705,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1705.md,45.4%,中等,394
